,fs,t,y
5906,,340.7430237,1.357421875
5907,,340.7875077,1.26953125
5908,,340.7878657,1.1865234375
5909,,340.8036879,1.15234375
5910,,340.8381252,1.240234375
5911,,340.8605065,1.474609375
5912,,340.8646074,1.7822265625
5913,,340.8853736,2.080078125
5914,,340.9212958,2.3291015625
5915,,340.9418832,2.5634765625
5916,,340.942275,2.744140625
5917,,340.9771987,2.8955078125
5918,,340.9994934,2.978515625
5919,,341.005018,3.0224609375
5920,,341.0526029,3.0029296875
5921,,341.0530266,2.9443359375
5922,,341.0668664,2.8515625
5923,,341.1146587,2.75390625
5924,,341.1150151,2.646484375
5925,,341.1230124,2.5537109375
5926,,341.160205,2.4609375
5927,,341.1648103,2.36328125
5928,,341.2098457,2.265625
5929,,341.210195,2.158203125
5930,,341.2249482,2.0654296875
5931,,341.2724559,1.97265625
5932,,341.2730003,1.875
5933,,341.3025301,1.77734375
5934,,341.3028905,1.689453125
5935,,341.3497435,1.6015625
5936,,341.3502025,1.513671875
5937,,341.3691803,1.42578125
5938,,341.3856895,1.3427734375
5939,,341.42869,1.2646484375
5940,,341.4292534,1.19140625
5941,,341.4431084,1.123046875
5942,,341.4774103,1.11328125
5943,,341.4825816,1.220703125
5944,,341.5154037,1.4794921875
5945,,341.5365526,1.767578125
5946,,341.544112,2.0556640625
5947,,341.583741,2.2998046875
5948,,341.586276,2.4755859375
5949,,341.6213406,2.6171875
5950,,341.6260466,2.705078125
5951,,341.6618774,2.75390625
5952,,341.6624486,2.7490234375
5953,,341.6980594,2.705078125
5954,,341.7185181,2.6318359375
5955,,341.7239141,2.5390625
5956,,341.7593239,2.4365234375
5957,,341.7791557,2.34375
5958,,341.7874029,2.255859375
5959,,341.8056976,2.1630859375
5960,,341.822397,2.08984375
5961,,341.8654838,2.0263671875
5962,,341.8660128,1.9580078125
5963,,341.8863983,1.89453125
5964,,341.9285148,1.826171875
5965,,341.9290975,1.7626953125
5966,,341.9468322,1.7041015625
5967,,341.9821498,1.6455078125
5968,,341.9879391,1.591796875
5969,,342.0038648,1.5283203125
5970,,342.0396726,1.4794921875
5971,,342.0443365,1.4208984375
5972,,342.0835064,1.3623046875
5973,,342.1046064,1.2939453125
5974,,342.1052459,1.2353515625
5975,,342.1450185,1.1962890625
5976,,342.1454345,1.2451171875
5977,,342.1622818,1.4111328125
5978,,342.1989535,1.6748046875
5979,,342.2235495,1.9384765625
5980,,342.2239756,2.138671875
5981,,342.2598449,2.294921875
5982,,342.2805801,2.3974609375
5983,,342.2859289,2.451171875
5984,,342.3306376,2.451171875
5985,,342.3310741,2.4169921875
5986,,342.3464675,2.353515625
5987,,342.382012,2.2705078125
5988,,342.4031144,2.1826171875
5989,,342.4034645,2.099609375
5990,,342.4400975,2.0263671875
5991,,342.4451487,1.953125
5992,,342.4871424,1.89453125
